Name,LevelRange,Zone,Family
Gnawtooth Gary,N/A,Abyssea-Vunkerl,Rabbit
Gnyan,N/A,Ghoyu's Reverie (MMM),Diremite
Go'Bha Slaughterer,N/A,Waughroon Shrine,Quadav
Go'Bhu Herohunter,N/A,Rolanberry Fields (S), 6 more areas,Quadav
Go'Dha Jademaiden,N/A,Crawlers' Nest (S), 1 more areas,Quadav
Go'Rha Sludgewater,N/A,Pashhow Marshlands (S),Quadav
Goaftrap,N/A,Misareaux Coast,Trap
Goblin Archaeologist,30 - 75,Konschtat Highlands, 2 more areas,Goblin
Goblin Collector,N/A,Newton Movalpolos,Goblin
Goblin Doyen,N/A,The Sanctuary of Zi'tah,Goblin
Goblin Enforcer,N/A,Chamber of Oracles,Goblin
Goblin Golem,N/A,Dynamis - Jeuno,Replica
Goblin Guide,N/A,Buburimu Peninsula,Goblin
Goblin Intimidator,N/A,Chamber of Oracles,Goblin
Goblin Lansquenet,N/A,Al Zahbi,Goblin
Goblin Picaroon,N/A,East Ronfaure (S), 2 more areas,Goblin
Goblin Preceptor,80 - 80,Oldton Movalpolos,Goblin
Goblin Reaver,N/A,Everbloom Hollow,Goblin
Goblin Repossessor,N/A,Chamber of Oracles,Goblin
Goblin Thespian,N/A,Buburimu Peninsula,Goblin
Goblin Wolfman,50 - 55,Oldton Movalpolos,Goblin
Goblinsavior Heronox,55 - 59,Gustav Tunnel,Goblin
Goblintrap,N/A,East Ronfaure (S),Trap
Goldcap,N/A,Crawlers' Nest (S),Funguar
Golden Bat,26 - 27,Valkurm Dunes,Bats
Golden Bat (Nyzul),N/A,Nyzul Isle,Bats
Golden-Tongued Culberry,N/A,Pso'Xja,Tonberry
Goliath,62 - 62,Fei'Yin,Golem
Goo Pake the Bloodhound,N/A,Altar Room,Yagudo
Gordov's Ghost,N/A,Kuftal Tunnel,Ghost
Gorehound,N/A,Xarcabard, 3 more areas,Hound
Gorepledge Rozzbrezz,N/A,La Vaule (S),Orc
Gorgimera,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Chimera
Gorib,N/A,Ghoyu's Reverie (MMM),Coeurl
Gorynich,N/A,Apollyon - Northwest,Limbus - Wyvern
Gossipix Blabberlips,N/A,Dynamis - Buburimu,Dynamis - Goblin
Gotoh Zha the Redolent,N/A,Wajaom Woodlands,Mamool Ja
Goublefaupe,N/A,Dynamis - Beaucedine,Dynamis - Shadow
Gougetooth Ganzaga,N/A,West Sarutabaruta,Rabbit
Gowam,N/A,The Ashu Talif,Galka
Grand Duke Batym,76 - 76,Castle Zvahl Baileys,Demon
Grand Marquis Chomiel,N/A,Throne Room,Demon
Grand'Goule,N/A,Beaucedine Glacier (S),Gargouille
Grandgousier,N/A,Abyssea-La Theine,Gigas
Granite Borer,N/A,Abyssea-Attohwa,Wamouracampa
Graoully,N/A,Xarcabard (S),Dragon
Gration,80 - 85,Misareaux Coast,Gigas
Grav'iton,60 - 60,Sacrificial Chamber,Tonberry
Grave Digger,N/A,Apollyon - Southeast,Limbus - Corse
Greater Amphiptere,N/A,Xarcabard (S),Amphiptere
Greater Gnole,N/A,Jugner Forest (S),Gnole
Greenman,N/A,The Sanctuary of Zi'tah,Treant
Grenade Syrup,N/A,Verdical Conflux 2,Clot
Grimbolt Onkzok,N/A,Monastic Cavern,Orc
Grimgerde,N/A,Einherjar - Odin's Chamber,Fomor
Grimoire Guru Grimogek,N/A,Oldton Movalpolos,Moblin
Groot Slang,N/A,Pashhow Marshlands (S),Peiste
Ground Guzzler,N/A,North Gustaberg, 3 more areas,Worm
Grylio,N/A,South Gustaberg,Lizard
Gu'Dha Effigy,N/A,Dynamis - Bastok,Replica
Gu'Khu Dukesniper,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Gu'Nha Wallstormer,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Gu'Nhi Noondozer,N/A,Dynamis - Bastok,Dynamis - Quadav
Guard Hippogryph,N/A,Monarch Linn,Hippogryph
Guardian Crawler,45 - 50,Crawlers' Nest,Crawler
Guardian Statue,65 - 65,Garlaige Citadel,Doll
Guardian Treant,N/A,The Sanctuary of Zi'tah,Treant
Gudanna,N/A,Behemoth's Dominion,Behemoth
Gugru Orobon,N/A,Open sea route to Mhaura,Orobon
Guimauve,N/A,Abyssea-Konschtat,Flan
Guivre,82 - 83,Kuftal Tunnel,Wyvern
Guivre,N/A,Ruhotz Silvermines,Wyvern
Gukumatz,N/A,Abyssea-Misareaux,Peiste
Gulool Ja Ja,N/A,Al Zahbi,Mamool Ja
Gulool Ja Ja,N/A,Mamook,Mamool Ja
Gumdrop,N/A,Ghoyu's Reverie (MMM),Flan
Gummy Guillaume,N/A,Rolanberry Fields (S),Slug
Gurfurlur the Menacing,N/A,Al Zahbi,Troll
Gurfurlur the Menacing,N/A,Halvung,Troll
Guu Waji the Preacher,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Guytrash,N/A,Qu'Bia Arena,Hound
Gwyllgi,N/A,King Ranperre's Tomb,Hound
Gwyn Ap Knudd,N/A,Boneyard Gully,Corse
Gyre-Carlin,N/A,Pso'Xja,Diremite
Gyre-Carlin (Nyzul),N/A,Nyzul Isle,Diremite
Gyroscopic Gear,N/A,Silver Sea Remnants,Salvage - Archaic Gears
Gyroscopic Gears,N/A,Silver Sea Remnants,Salvage - Archaic Gears
Haa Pevi the Stentorian,N/A,Dynamis - Windurst,Dynamis - Yagudo
Habergoass,N/A,Batallia Downs (S),Bird
Habetrot,N/A,Temple of Uggalepih,Crawler
Habrok,N/A,Tahrongi Canyon,Bird
Hadal Satiator,N/A,Abyssea-Konschtat,Gorgers
Hadding the Elder,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Hadding the Younger,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Hadhayosh,N/A,Abyssea-La Theine,Behemoth
Haferbocks,N/A,Ghoyu's Reverie (MMM),Sheep
Hafgygr,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Scorpion
Hakenmann,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Orobon
Hakutaku,N/A,Den of Rancor,Hecteyes
Halforc Black Mage,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halforc Dark Knight,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halforc Dragoon,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halforc Monk,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halforc Paladin,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halforc Ranger,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halforc Warrior,30 - 35,Valkurm Dunes, 1 more areas,Orc
Halimede,N/A,Abyssea-Tahrongi,Clionid
Hamadryad,N/A,Monarch Linn,Trap
Hamfist Gukhbuk,N/A,Dynamis - Buburimu,Dynamis - Orc
Hammerblow Majanun,N/A,Silver Sea Remnants,Salvage - Fomor
Hanuman,N/A,Abyssea-Vunkerl,Opo-opo
Harajnite (Fished),75 - 75,Manaclipper,Uragnite
Harvestman,73 - 74,Bhaflau Thickets,Spider
Hastatus XI-XII,65 - 65,Quicksand Caves,Antica
Haty,14 - 14,Konschtat Highlands,Hound
Haudrale,N/A,Throne Room (S),Fomor
Hawkeyed Dnatbat,26 - 28,Davoi,Orc
Hawkeyed Dnatbat,N/A,La Vaule (S),Orc
Hazel Sentinel,N/A,Al Zahbi,Automaton
Hazhalm Bat,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Bats
Hazhalm Bats,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Triple Bats
Hazhalm Leech,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Leech
Hazhdiha,N/A,Abyssea-Altepa,Dragon
Hazmat,N/A,Garlaige Citadel,Bomb
He'Dho Spatesurge,N/A,Rolanberry Fields (S),Quadav
Heavy Metal Crab,N/A,Waughroon Shrine,Crab
Heavymail Djidzbad,N/A,Dynamis - Beaucedine,Dynamis - Orc
Hedetet,N/A,Abyssea-Tahrongi,Scorpion
Hedjedjet,N/A,Abyssea-Altepa,Scorpion
Hee Mida the Meticulous,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Heithrun,N/A,Einherjar - Rossweisse's Chamber, 8 more areas,Sheep
Heliodromos,N/A,Riverne - Site #A01,Hippogryph
Hell Fly,N/A,Qu'Bia Arena,Bee
Helldiver,29 - 30,Buburimu Peninsula,Bird
Helldiver (Nyzul),N/A,Nyzul Isle,Bird
Hellion,N/A,Labyrinth of Onzozo,Doomed
Hellion (Nyzul),N/A,Nyzul Isle,Doomed
Helltail Harry,45 - 45,Horlais Peak,Rabbit
Helmwige,N/A,Einherjar - Odin's Chamber,Fomor
Hematic Cyst,N/A,Davoi,Clot
Hemodrosophila,N/A,Meriphataud Mountains (S),Gnat
Henchman Moogle (Black Mage),N/A,Throne Room,Moogle
Henchman Moogle (White Mage),N/A,Throne Room,Moogle
Heqet,N/A,Abyssea-Misareaux,Poroggo
Herbage Hunter,N/A,Tahrongi Canyon,Crawler
Hercules Beetle,N/A,Carpenters' Landing,Beetle
Herensugue,N/A,Sauromugue Champaign (S),Raptor
Hermitrix Toothrot,N/A,Dynamis - Jeuno,Dynamis - Goblin
Hervarth,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Hexenpilz,N/A,Abyssea-Konschtat,Funguar
Highlander Lizard,N/A,Konschtat Highlands,Lizard
Hildesvini,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Marid
Hilltroll Elite Guard,N/A,Halvung,Troll
Himinrjot,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Buffalo
Hippalectryon,N/A,Ghoyu's Reverie (MMM),Hippogryph
Hippocentaur,N/A,Grauberg (S),Hippogryph
Hippolytos,28 - 32,Lower Delkfutt's Tower,Gigas
Hippomaritimus,N/A,Valkurm Dunes,Pugil
Hjovarth,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Hm'Zdei,N/A,Abyssea-Vunkerl,Zdei
Hoar-knuckled Rimberry,N/A,Yhoator Jungle,Tonberry
Hobgoblin Beastmaster,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin Black Mage,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin Dark Knight,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin Ranger,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin Red Mage,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin Thief,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin Warrior,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Hobgoblin White Mage,30 - 55,Valkurm Dunes, 12 more areas,Goblin
Holey Horror,N/A,The Sanctuary of Zi'tah,Ghost
Honey Fly,N/A,Fort Karugo-Narugo (S),Bee
Honor,N/A,Quicksand Caves,Sea Monk
Hoo Mjuu the Torrent,16 - 17,Giddeus,Yagudo
Hoplomashus XI-XXVI,60 - 60,Chamber of Oracles,Antica
Hotupuku,N/A,Monarch Linn,Bugard
Houndfly,N/A,Horlais Peak,Fly
Hovering Hotpot,N/A,Garlaige Citadel,Magic Pot
Hraesvelg,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Manticore
Hrani,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Hrosshvalur,N/A,Abyssea-Vunkerl,Pugil
Hrungnir,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Golem
Hu'Rhe Marrowgorger,N/A,Qulun Dome,Quadav
Huginn,N/A,Einherjar - Rossweisse's Chamber, 8 more areas,Bird
Humbaba,N/A,Beaucedine Glacier,Gigas
Hume Automaton,N/A,Mine Shaft #2716,Humanoid
Humegutter Adzjbadj,N/A,Dynamis - Beaucedine,Dynamis - Orc
Humnox Drumbelly,N/A,Dynamis - Jeuno,Dynamis - Goblin
Hundredfaced Hapool Ja,N/A,Mamook,Mamool Ja
Hundredscar Hajwaj,11 - 13,Fort Ghelsba,Orc
Hungerer,N/A,Abyssea-Tahrongi,Cravers
Huntfly,N/A,Horlais Peak,Fly
Huu Xalmo the Savage,63 - 63,Castle Oztroja,Yagudo
Huwasi,N/A,The Sanctuary of Zi'tah,Golem
Hyakinthos,N/A,Sauromugue Champaign (S),Lycopodium
Hyakume,N/A,Ranguemont Pass,Hecteyes
Hydra,N/A,Wajaom Woodlands,Hydra
Hydra (Nyzul),N/A,Nyzul Isle,Hydra
Hyndla,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Hound
Hyohh the Conchblower,60 - 60,Sacrificial Chamber,Sahagin
Ice Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Ice Pot,N/A,Qu'Bia Arena,Magic Pot
Ichorous Ire,35 - 36,Maze of Shakhrami,Slime
Ifrit Prime,70 - 70,Cloister of Flames,Avatar
Ifrit Prime,25 - 25,Cloister of Flames,Avatar
Ifrit Prime,N/A,Cloister of Flames, 1 more areas,Avatar
Ifrit Prime,N/A,Cloister of Flames,Avatar
Ignamoth,N/A,Mount Zhayolm,Wamoura
Ika-Roa,N/A,Abyssea-Grauberg,Pugil
Iktomi,N/A,Abyssea-Vunkerl,Spider
Iku-Turso,N/A,Abyssea-Vunkerl,Sea Monk
Illusory Pot,N/A,Lower Delkfutt's Tower,Magic Pot
Illuyankas,N/A,Al Zahbi,Hydra
Imdugud,N/A,Riverne - Site #B01,Hippogryph
Immortal Flan,N/A,Navukgo Execution Chamber,Flan
Imp Bandsman,N/A,Talacca Cove,Imp
Impervious Chariot,N/A,Abyssea-Uleguerand,Chariots
Incendiary Bombs,N/A,Al Zahbi,Cluster
Indich,N/A,Sacrarium,Fomor
Indrik,N/A,Abyssea-Uleguerand,Monohorn
Infected Wamoura,N/A,Einherjar - Rossweisse's Chamber, 5 more areas,Wamoura
Ingaevon,N/A,Qufim Island,Gigas
Ingester,N/A,Spire of Dem,Empty
Ingurgitator,N/A,Spire of Vahzl,Empty
Intulo,46 - 47,Bibiki Bay,Eft
Intulo (Nyzul),N/A,Nyzul Isle,Eft
Invulnerable Mazzgozz,60 - 60,Horlais Peak,Orc
Iqi-Balam,N/A,Sauromugue Champaign (S),Lynx
Iratham,N/A,Abyssea-Tahrongi,Caturae
Iriri Samariri,N/A,Mamook,Poroggo
Iriz Ima,N/A,Wajaom Woodlands,Marid
Ironclad Cleaver,N/A,Abyssea-Attohwa,Iron Giant
Ironclad Executioner,N/A,Abyssea-Vunkerl,Iron Giant
Ironclad Observer,N/A,Abyssea-Misareaux,Iron Giant
Ironclad Pulverizer,N/A,Abyssea-Misareaux,Iron Giant
Ironclad Severer,N/A,Abyssea-Misareaux,Iron Giant
Ironclad Smiter,N/A,Abyssea-Altepa,Iron Giant
Ironclad Sunderer,N/A,Abyssea-Grauberg,Iron Giant
Ironclad Triturator,N/A,Abyssea-Uleguerand,Iron Giant
Irrlicht,N/A,Abyssea-La Theine,Corpselight
Iruci,N/A,King Ranperre's Tomb, 1 more areas,Skeleton
Isgebind,N/A,Abyssea-Uleguerand,Wyrm
Isonade,N/A,The Sanctuary of Zi'tah,Pugil
Itzpapalotl,N/A,Abyssea-Attohwa,Wamoura
Ix'aern (DRG),N/A,The Garden of Ru'Hmet,Aern
Ix'aern (DRK),N/A,The Garden of Ru'Hmet,Aern
Ix'aern (MNK),N/A,Grand Palace of Hu'Xzoi,Aern
Ix'ghrah,N/A,Grand Palace of Hu'Xzoi,Ghrah
Ix'zdei,N/A,The Garden of Ru'Hmet,Zdei
Ixtab,71 - 71,Upper Delkfutt's Tower,Ghost
Iyamoopo,N/A,Ghoyu's Reverie (MMM),Crawler
Jabbrox Grannyguise,N/A,Dynamis - Jeuno,Dynamis - Goblin
Jabkix Pigeonpecs,N/A,Dynamis - Jeuno,Dynamis - Goblin
Jack of Batons,62 - 62,Outer Horutoto Ruins,Cardian
Jack of Coins,62 - 62,Outer Horutoto Ruins,Cardian
Jack of Cups,62 - 62,Outer Horutoto Ruins,Cardian
Jack of Swords,62 - 62,Outer Horutoto Ruins,Cardian
Jaculus,N/A,Abyssea-Grauberg,Pugil
Jaded Jody,N/A,Wajaom Woodlands,Morbol
Jaded Jody (Nyzul),N/A,Nyzul Isle,Morbol
Jaggedy-Eared Jack,9 - 10,West Ronfaure,Rabbit
Jaggedy-Eared Jack (Nyzul),N/A,Nyzul Isle,Rabbit
Jagidbod of Clan Reaper,68 - 68,Horlais Peak,Orc
Jagidbod of Clan Reaper,N/A,Jugner Forest (S),Orc
Jagidbod's Warmachine,N/A,Jugner Forest (S), 1 more areas,Orcish Warmachine
Jailer of Faith,N/A,The Garden of Ru'Hmet,Euvhi
Jailer of Fortitude,N/A,The Garden of Ru'Hmet,Ghrah
Jailer of Hope,N/A,Al'Taieu,Phuabo
Jailer of Justice,85 - 85,Al'Taieu,Xzomit
Jailer of Love,83 - 83,Al'Taieu,Yovra
Jailer of Prudence,N/A,Al'Taieu,Hpemde
Jailer of Temperance,85 - 85,Grand Palace of Hu'Xzoi,Zdei
Jakko,N/A,Zhayolm Remnants,Salvage - Imp
Jala,N/A,Abyssea-Misareaux,Avatar
Jammer Leech,55 - 55,Korroloka Tunnel,Leech
Jazaraat,67 - 70,Caedarva Mire,Fomor
Jeduah,16 - 19,West Sarutabaruta (S),Lycopodium
Jenglot,73 - 74,Fei'Yin,Doll
Jeunoraider Gepkzip,N/A,Dynamis - Beaucedine,Dynamis - Orc
Ji'Fhu Infiltrator,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Jolly Green,27 - 28,Pashhow Marshlands,Goobbue
Jolly Green (Nyzul),N/A,Nyzul Isle,Goobbue
Jormungand,95 - 95,Uleguerand Range,Wyrm
Jorporbor the Hellraker,N/A,Lebros Cavern,Troll
Jotunn Ruffian,N/A,Vunkerl Inlet (S),Gigas
Judgmental Julika,N/A,Vunkerl Inlet (S),Morbol
Juggler Hecatomb,46 - 48,Gusgen Mines,Evil Weapon
Juggler Hecatomb (Nyzul),N/A,Nyzul Isle,Evil Weapon
Jurik,N/A,Dynamis - Buburimu,Dynamis - Dragon
Juu Duzu the Whirlwind,13 - 13,Giddeus,Yagudo
Juu Zeni the Poisonmist,64 - 64,Balga's Dais,Yagudo
Jyeshtha,N/A,West Sarutabaruta, 3 more areas,Scorpion
Ka'Ghi Trovemaker,N/A,Qulun Dome,Quadav
Ka'Nha Jabbertongue,60 - 60,Waughroon Shrine,Quadav
Kadraeth the Hatespawn,N/A,Abyssea-Vunkerl,Soulflayer
Kaiser Behemoth,N/A,Apollyon - Northwest,Limbus - Behemoth
Kaiser Behemoth (Campaign),N/A,Bastok Markets (S),Behemoth
Kalamainu,30 - 30,Ghelsba Outpost,Lizard
Kaliya,N/A,Beaucedine Glacier (S),Gargouille
Kam'lanaut,N/A,Stellar Fulcrum,Zilart
Kam'lanaut,N/A,Empyreal Paradox,Zilart
Kampe,N/A,Abyssea-Attohwa,Scorpion
Kappa Akuso,N/A,Yhoator Jungle,Sahagin
Kappa Biwa,N/A,Yhoator Jungle,Sahagin
Kappa Bonze,N/A,Yhoator Jungle,Sahagin
Karaha-Baruha,N/A,Castle Oztroja (S),Tarutaru
Karashix Swollenskull,N/A,Dynamis - Jeuno,Dynamis - Goblin
Karkadann,N/A,Abyssea-Vunkerl,Monohorn
Karkatakam,N/A,Abyssea-Misareaux,Crab
Karkinos,N/A,Abyssea-La Theine,Crab
Kee Taw the Nightingale,N/A,Altar Room,Yagudo
Keeneyed Aufwuf,60 - 60,Horlais Peak,Orc
Keeper of Halidom,N/A,The Sanctuary of Zi'tah,Goobbue
Keeper of Halidom (Nyzul),N/A,Nyzul Isle,Goobbue
Keesha Poppo,N/A,Abyssea-La Theine,Opo-opo
Kegpaunch Doshgnosh,N/A,Fort Ghelsba,Orc
Kendi,N/A,Ghoyu's Reverie (MMM),Lizard
Keratyrannos,N/A,Abyssea-Konschtat,Wivre
Keremet,N/A,Sacrarium,Corse
Kerwan,N/A,Ghoyu's Reverie (MMM),Sapling
Ketea,N/A,Abyssea-Vunkerl,Hpemde
Ketos,N/A,Buburimu Peninsula,Pugil
Kettenkaefer,N/A,Kuftal Tunnel,Beetle
Khadem Quemquoma,N/A,Garlaige Citadel (S),Scorpion
Khalamari,N/A,Abyssea-Konschtat,Xzomit
Khalkotaur,N/A,Abyssea-Vunkerl,Taurus
Kharon,N/A,Abyssea-Attohwa,Skeleton
Khimaira,N/A,Caedarva Mire,Chimera
Khimaira (Nyzul),N/A,Nyzul Isle,Chimera
Khimaira 13,N/A,Navukgo Execution Chamber,Chimera
Khimaira 14X,N/A,Ilrusi Atoll,Chimera
Khromasoul Bhurborlor,N/A,Mount Zhayolm,Troll
Kikklix Longlegs,N/A,Dynamis - Jeuno,Dynamis - Goblin
Kilioa,30 - 30,Ghelsba Outpost,Lizard
Killer Jonny,N/A,Cape Teriggan,Cockatrice
Killing Claw,N/A,Al Zahbi,Scorpion
Kimmerios,N/A,Ghoyu's Reverie (MMM),Elemental
Kindred Incantor,N/A,West Sarutabaruta (S),Demon
Kinepikwa,N/A,Pashhow Marshlands (S),Peiste
King Arthro,55 - 55,Jugner Forest,Crab
King Arthro,N/A,Everbloom Hollow,Crab
King Behemoth,85 - 85,Behemoth's Dominion,Behemoth
King Goldemar,N/A,Periqia,Dvergr
King Vinegarroon,82 - 85,Western Altepa Desert,Scorpion
King Zagan,N/A,Dynamis - Xarcabard,Dynamis - Demon
King of Coins,N/A,Balga's Dais,Cardian
King of Swords,N/A,Balga's Dais,Cardian
Kingslayer Doggvdegg,N/A,Ghoyu's Reverie,Orc
Kingslayer Doggvdegg,N/A,Central Temenos - 4th Floor,Orc
Kirata,N/A,Beaucedine Glacier,Tiger
Kirin,90 - 90,The Shrine of Ru'Avitau,Manticore
Kirlirger the Abhorrent,N/A,Halvung,Troll
Kirtimukha,65 - 65,Fort Karugo-Narugo (S),Rafflesia
Klara,N/A,Everbloom Hollow, 1 more areas,Hume
Kloesse,N/A,Rolanberry Fields (S),Leech
Knii Hoqo the Bisector,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Ko'Dho Cannonball,N/A,Dynamis - Bastok,Dynamis - Quadav
Koenigstiger,63 - 63,Xarcabard,Tiger
Koghatu,N/A,Abyssea-Uleguerand,Acrolith
Koios,N/A,Abyssea-Altepa,Avatar
Konjac,N/A,Toraimarai Canal,Slime
Koo Rahi the Levinblade,N/A,Dynamis - Buburimu,Dynamis - Yagudo
Koo Saxu the Everfast,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Koropokkur,N/A,Yuhtunga Jungle,Mandragora
Korroloka Leech,N/A,Korroloka Tunnel,Leech
Koschei,N/A,Dynamis - Buburimu,Dynamis - Dragon
Kotan-kor Kamuy,80 - 82,Grauberg (S),Hippogryph
Krabkatoa,N/A,East Ronfaure, 3 more areas,Crab
Kreutzet,79 - 79,Cape Teriggan,Greater Bird
Kronprinz Behemoth,N/A,Apollyon - Northwest,Limbus - Behemoth
Ku'Jhu Graniteskin,N/A,Waughroon Shrine,Quadav
Ku'Tya Hotblood,60 - 60,Waughroon Shrine,Quadav
Kukki-Chebukki,N/A,Sealion's Den,Tarutaru
Kukulkan,N/A,Abyssea-Konschtat,Peiste
Kulili,N/A,Xarcabard,Dragon
Kumbaba,N/A,Jugner Forest,Treant
Kuperan,N/A,Ghoyu's Reverie (MMM),Golem
Kur,N/A,Abyssea-Uleguerand,Dragon
Kurrea,84 - 84,Lufaise Meadows,Bugard
Kusa,N/A,Leujaoam Sanctum,Humanoid
Kutharei,N/A,Abyssea-Misareaux,Caturae
Kuu Xuka the Nimble,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
La Theine Liege,N/A,Abyssea-La Theine,Fly
La Velue,N/A,Batallia Downs (S),Smilodon
Laa Heha the Falconer,N/A,Sauromugue Champaign (S),Yagudo
Laa Vaqu the Sutler,N/A,Fort Karugo-Narugo (S),Yagudo
Laa Yaku the Austere,N/A,Altar Room,Yagudo
Laa Yaku the Austere,N/A,Ghoyu's Reverie,Yagudo
Lachrymater,N/A,Abyssea-Tahrongi,Weepers
Lacovie,N/A,Abyssea-Tahrongi,Adamantoise
Lacus,N/A,Batallia Downs, 5 more areas,Elemental
Laelaps,N/A,The Eldieme Necropolis (S),Hound
Lambton Worm,N/A,Everbloom Hollow, 2 more areas,Sandworm
Lamia Commandress,N/A,Al Zahbi,Lamia
Lamia Deathdancer,N/A,Caedarva Mire,Lamia
Lamia Exon,N/A,Arrapago Reef,Lamia
Lamia Freebooter,N/A,Al Zahbi,Lamia
Lamia Immolator,N/A,Al Zahbi,Lamia
Lamia Jaeger,N/A,Al Zahbi,Lamia
Lamia No. 13,N/A,Ilrusi Atoll Staging Point,Lamia
Lamia No. 19,N/A,Arrapago Reef,Lamia
Lamia No. 21,N/A,Al Zahbi,Lamia
Lamia No. 27,N/A,Caedarva Mire,Lamia
Lamia No. 3,N/A,Al Zahbi,Lamia
Lamia No. 34,N/A,Al Zahbi,Lamia
Lamia No. 4,N/A,Al Zahbi,Lamia
Lamia No. 9,N/A,Al Zahbi,Lamia
Lamia No. 9,N/A,Arrapago Reef,Lamia
Lamia Palace Guard,N/A,Arrapago Reef,Lamia
Lamia Rover,N/A,Al Zahbi,Lamia
Lamia's Avatar,N/A,Al Zahbi,Avatar
Lamia's Elemental,N/A,Al Zahbi,Elemental
Lamie No. 8,N/A,Arrapago Reef,Lamia
Lamina,N/A,Rolanberry Fields (S),Lycopodium
Lamprey Lord,N/A,Pashhow Marshlands, 1 more areas,Leech
Lancelord Gaheel Ja,N/A,Jade Sepulcher,Mamool Ja
Lancet Jagil (Fished),N/A,Bibiki Bay,Pugil
Lanky Lenglen,N/A,Batallia Downs,Fly
Lead Quadav,N/A,North Gustaberg,Quadav
Leaping Lizzy,10 - 11,South Gustaberg,Lizard
Leaping Lizzy (Nyzul),N/A,Nyzul Isle,Lizard
Leech King,35 - 36,Maze of Shakhrami,Leech
Leech King (Nyzul),N/A,Nyzul Isle,Leech
Legalox Heftyhind,N/A,Outer Horutoto Ruins,Goblin
Legendary Weapon,55 - 55,Behemoth's Dominion,Evil Weapon
Lentor,N/A,Abyssea-Konschtat,Slug
Lesath,N/A,Maze of Shakhrami,Scorpion
Leshonki,N/A,The Boyahda Tree,Sapling
Leviathan Prime,70 - 70,Cloister of Tides,Avatar
Leviathan Prime,25 - 25,Cloister of Tides,Avatar
Leviathan Prime,N/A,Cloister of Tides, 1 more areas,Avatar
Leviathan Prime,N/A,Cloister of Tides,Avatar
Lich C Magnus,58 - 58,The Eldieme Necropolis,Skeleton
Light Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Lightning Gremlin,N/A,Cloister of Storms,Evil Weapon
Lightning Wyvern,N/A,Chamber of Oracles,Wyvern
Lii Jixa the Somnolist,N/A,Castle Oztroja,Yagudo
Likho,N/A,Castle Zvahl Baileys,Ahriman
Lil' Apkallu,N/A,Arrapago Reef,Apkallu
Lindwurm,75 - 75,Ifrit's Cauldron,Raptor
Lioumere,75 - 75,Attohwa Chasm,Antlion
Liquified Einherjar,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Flan
Lividroot Amooshah,N/A,Bhaflau Thickets,Morbol
Living Staves,N/A,Periqia,Animated Weapon
Lizardtrap,73 - 74,Aydeewa Subterrane,Trap
Lobais,N/A,Sacrarium,Fomor
Lockbuster Zapdjipp,N/A,Dynamis - Beaucedine,Dynamis - Orc
Lode Golem,N/A,Ro'Maeve,Golem
Logi,N/A,Einherjar - Rossweisse's Chamber, 5 more areas,Bomb
Long-Armed Chariot,N/A,Silver Sea Remnants,Salvage - Archaic Chariots
Long-Barreled Chariot,N/A,Abyssea-Altepa,Chariots
Long-Bowed Chariot,N/A,Bhaflau Remnants,Salvage - Archaic Chariots
